# min_ratio=None pval=None
id	enrichment	description	ratio_in_study	ratio_in_pop	p_uncorrected	p_bonferroni	p_holm	p_sidak	p_fdr	ANs_study	ANs_pop
GO:0005681	e	spliceosomal complex	10/1159	7/1159	0.628	1.62e+03	1.36e+03	1.58e+03	n.a.	P20053,P32639,P38282,P46947,P53905,Q02775,Q03338,Q06406,Q06411,Q07478	P19735,P20053,P23394,P32639,P33334,P38203,P38241,P39990,P40070,P40089,P40968,P43589,P46947,P47093,P49704,P53830,P53905,P54999,P57743,Q02775,Q03338,Q06406,Q06411,Q06819,Q06835,Q07478,Q12368,Q12417,Q12420,Q99177
GO:0005682	p	U5 snRNP	3/1159	3/1159	1	2.57e+03	1.24e+03	2.51e+03	n.a.	P32639,P33411,P40018	P23394,P32357,P32639,P33334,P33411,P36048,P38852,P40018,P40204,P43321,P54999,Q02260,Q06217,Q06819
GO:0005684	p	U2-type spliceosomal complex	1/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P53854	P52868,P53333,P53854,Q02770,Q03375,Q03772
GO:0005685	p	U1 snRNP	3/1159	3/1159	1	2.57e+03	1.24e+03	2.51e+03	n.a.	P33203,P40018,Q00916	P32605,P33203,P39682,P40018,P40204,P43321,P53207,P54999,Q00539,Q00916,Q02260,Q03776,Q05900,Q06217,Q07508
GO:0005686	p	U2 snRNP	1/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	Q04693	P0C074,P25337,P32524,P40567,P49955,P53830,Q02554,Q04693,Q06835,Q08963,Q99181
GO:0005688	p	U6 snRNP	2/1159	3/1159	1	2.57e+03	1.84e+03	2.51e+03	n.a.	P53905,Q06406	P38203,P40070,P40089,P47093,P49960,P53905,P57743,Q06406
GO:0005694	e	chromosome	4/1159	1/1159	0.374	964	900	940	n.a.	P11632,P11633,P38827,P40161	P11632,P11633,P38827,P40161,P46995
GO:0005719	p	nuclear euchromatin	1/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	Q12692	Q12692
GO:0005724	p	nuclear telomeric heterochromatin	1/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	Q08649	P06700,P06701,P11978,P32807,P32914,P38766,Q04437,Q08649,Q12464
GO:0005729	e	2-micrometer circle DNA	1/1159	0/1159	1	2.57e+03	1.73e+03	2.51e+03	n.a.	Q04002	
GO:0005730	e	nucleolus	108/1159	63/1159	0.000443	1.14	1.14	1.11	n.a.	P05755,P0CX37,P10080,P10962,P10964,P15646,P20447,P20448,P25443,P25582,P25627,P26793,P27476,P29295,P32527,P32583,P32892,P33201,P33322,P33399,P33750,P34247,P35187,P35194,P36009,P36049,P36080,P36160,P37838,P38112,P38205,P38333,P38779,P38805,P38882,P38911,P38961,P39520,P39521,P39715,P39744,P40007,P40010,P40055,P40078,P40470,P40493,P40693,P42846,P43586,P47006,P47047,P47077,P48164,P48234,P48240,P52910,P53136,P53254,P53261,P53276,P53313,P53742,P53743,P53883,P53905,P53914,P53927,Q01080,Q01560,Q02555,Q02724,Q02892,Q03280,Q03532,Q03973,Q04031,Q04217,Q04225,Q04500,Q05022,Q05942,Q06106,Q06214,Q06218,Q06287,Q06344,Q06406,Q06506,Q06511,Q06631,Q06679,Q08162,Q08208,Q08746,Q08965,Q12080,Q12136,Q12149,Q12220,Q12247,Q12389,Q12460,Q12499,Q12754,Q3E705,Q99207,Q99216	O13329,O13516,P04786,P05755,P06367,P06700,P06701,P07271,P07884,P0CX37,P10080,P10962,P10964,P15646,P20447,P20448,P20484,P21304,P25359,P25382,P25443,P25582,P25586,P25627,P25635,P25651,P25808,P26786,P26793,P27476,P28007,P29295,P32527,P32583,P32598,P32892,P33201,P33322,P33399,P33750,P34241,P34247,P35178,P35187,P35194,P36009,P36049,P36068,P36080,P36120,P36144,P36146,P36160,P37263,P37838,P38112,P38203,P38205,P38236,P38278,P38333,P38712,P38719,P38779,P38789,P38792,P38805,P38882,P38911,P38961,P39516,P39520,P39521,P39715,P39744,P39985,P39990,P40007,P40010,P40055,P40070,P40078,P40079,P40089,P40362,P40470,P40493,P40498,P40507,P40693,P40991,P40992,P41819,P41910,P42846,P42945,P43586,P45818,P46948,P46962,P46963,P47006,P47035,P47047,P47077,P47093,P47108,P48164,P48234,P48240,P48412,P48561,P52910,P53136,P53188,P53251,P53254,P53256,P53261,P53276,P53313,P53317,P53335,P53336,P53437,P53632,P53734,P53742,P53743,P53859,P53863,P53874,P53883,P53905,P53914,P53927,P53972,P57743,Q00684,Q01080,Q01560,Q02208,Q02354,Q02555,Q02724,Q02892,Q02931,Q02983,Q03280,Q03525,Q03532,Q03862,Q03957,Q03973,Q04031,Q04087,Q04177,Q04217,Q04225,Q04305,Q04373,Q04500,Q05022,Q05024,Q05636,Q05942,Q05946,Q06078,Q06106,Q06132,Q06156,Q06214,Q06218,Q06287,Q06344,Q06406,Q06506,Q06511,Q06512,Q06631,Q06679,Q07381,Q07623,Q07844,Q07896,Q07915,Q08096,Q08162,Q08208,Q08235,Q08285,Q08287,Q08444,Q08492,Q08562,Q08746,Q08747,Q08962,Q08965,Q12024,Q12035,Q12052,Q12080,Q12099,Q12136,Q12149,Q12153,Q12176,Q12213,Q12220,Q12277,Q12339,Q12389,Q12457,Q12460,Q12476,Q12481,Q12499,Q12522,Q12754,Q3E705,Q99207,Q99216
GO:0005732	e	small nucleolar ribonucleoprotein complex	7/1159	5/1159	0.774	1.99e+03	1.61e+03	1.94e+03	n.a.	P32495,P34247,P38768,P47083,P53905,Q06406,Q6Q547	P28007,P32495,P34247,P38203,P38768,P40070,P40079,P40089,P47083,P53905,P54999,P57743,Q06406,Q6Q547
GO:0005736	p	DNA-directed RNA polymerase I complex	5/1159	6/1159	1	2.57e+03	1.19e+03	2.51e+03	n.a.	P10964,P22138,P46669,P47006,Q01080	P07703,P10964,P20434,P20435,P20436,P22138,P22139,P28000,P32529,P40422,P46669,P47006,P50106,Q01080
GO:0005737	p	cytoplasm	266/1159	278/1159	0.59	1.52e+03	1.32e+03	1.48e+03	n.a.	O14467,P00330,P00331,P00358,P00359,P00360,P00498,P00549,P00817,P00958,P02829,P02994,P04147,P04801,P04802,P04806,P05317,P05737,P06101,P06105,P06106,P06115,P06208,P06634,P06738,P07170,P07244,P07245,P07259,P07260,P07263,P07278,P07284,P07806,P08465,P08524,P08566,P09938,P09959,P0C2I9,P10080,P10081,P10591,P10592,P11484,P13663,P13712,P14120,P14682,P15019,P15180,P15700,P15705,P15992,P16965,P17157,P17442,P19812,P20449,P21243,P21269,P22147,P22515,P23254,P24280,P24783,P25037,P25040,P25369,P25375,P25627,P26637,P28263,P28272,P28273,P28707,P28777,P29295,P29311,P29547,P29952,P31373,P31383,P31385,P31539,P32264,P32288,P32356,P32379,P32432,P32497,P32504,P32521,P32527,P32561,P32582,P32589,P33201,P33297,P33298,P33299,P33309,P33313,P33322,P33331,P34216,P34219,P34730,P34760,P35169,P35194,P35719,P36059,P36136,P36154,P36421,P37012,P37291,P38013,P38088,P38140,P38198,P38199,P38219,P38276,P38281,P38333,P38625,P38689,P38698,P38708,P38720,P38768,P38777,P38787,P38788,P38793,P38804,P38858,P38859,P38934,P38972,P38996,P39015,P39517,P39714,P39715,P39935,P39960,P39976,P39979,P40002,P40005,P40024,P40029,P40069,P40081,P40106,P40160,P40206,P40316,P40327,P40457,P40506,P40545,P40825,P40963,P41277,P41338,P41812,P41920,P41940,P42938,P43603,P43616,P46655,P46672,P46947,P47019,P47039,P47119,P47120,P47176,P48361,P48570,P48606,P49723,P50094,P50095,P52553,P52918,P53072,P53081,P53090,P53148,P53168,P53184,P53267,P53549,P53691,P53718,P53743,P53905,P53909,P53927,P53940,P53981,P69771,P80210,Q00416,Q01389,Q01476,Q01560,Q02201,Q02821,Q02908,Q03195,Q03434,Q03973,Q04004,Q04031,Q04170,Q04178,Q04409,Q05506,Q05515,Q05580,Q05948,Q06053,Q06178,Q06252,Q06287,Q06338,Q06411,Q06449,Q06494,Q06673,Q06685,Q07551,Q07953,Q08647,Q08887,Q08925,Q08965,Q08971,Q08972,Q08981,Q12018,Q12020,Q12109,Q12114,Q12156,Q12265,Q12314,Q12348,Q12363,Q12433,Q12447,Q12449,Q12458,Q12472,Q12514,Q12515,Q12751,Q99216,Q99383	O13535,O14467,O43137,P00330,P00331,P00358,P00359,P00360,P00498,P00546,P00549,P00572,P00724,P00817,P00958,P02829,P02994,P04147,P04387,P04801,P04802,P04806,P04821,P05317,P05737,P05986,P06100,P06101,P06102,P06103,P06104,P06105,P06106,P06115,P06208,P06244,P06634,P06738,P06782,P06784,P07170,P07244,P07245,P07259,P07260,P07263,P07270,P07277,P07278,P07284,P07806,P07866,P08018,P08153,P08458,P08465,P08524,P08536,P08566,P09938,P09959,P0C2I6,P0C2I9,P0C2J0,P0C2J1,P0CW40,P0CX63,P0CX74,P10080,P10081,P10591,P10592,P11433,P11484,P11792,P11986,P12904,P12962,P13045,P13185,P13186,P13663,P13712,P14065,P14120,P14306,P14680,P14681,P14682,P15019,P15180,P15496,P15700,P15705,P15992,P16467,P16639,P16892,P16965,P17157,P17442,P18408,P18634,P18852,P18961,P18963,P19812,P19880,P20081,P20433,P20435,P20449,P20485,P20604,P21242,P21243,P21269,P21374,P21524,P21672,P22147,P22149,P22202,P22211,P22213,P22336,P22470,P22515,P22696,P23254,P23287,P23394,P23561,P23639,P24276,P24279,P24280,P24309,P24482,P24521,P24583,P24783,P24784,P24813,P24814,P24868,P25037,P25040,P25044,P25293,P25332,P25333,P25344,P25349,P25355,P25359,P25364,P25369,P25373,P25375,P25569,P25576,P25627,P25635,P25638,P25644,P25655,P26263,P26637,P27466,P27472,P27515,P27636,P27705,P28005,P28240,P28263,P28272,P28273,P28707,P28708,P28742,P28777,P29295,P29311,P29366,P29465,P29469,P29496,P29547,P29952,P30665,P31115,P31373,P31374,P31383,P31384,P31385,P31539,P32047,P32179,P32263,P32264,P32288,P32336,P32337,P32345,P32347,P32349,P32350,P32356,P32357,P32364,P32379,P32432,P32452,P32461,P32469,P32485,P32490,P32491,P32497,P32500,P32504,P32505,P32521,P32525,P32527,P32561,P32579,P32582,P32588,P32589,P32600,P32607,P32608,P32626,P32628,P32634,P32656,P32767,P32769,P32773,P32774,P32835,P32849,P32864,P32873,P32895,P32917,P33201,P33202,P33297,P33298,P33299,P33307,P33309,P33313,P33322,P33331,P33400,P33401,P33412,P33418,P33734,P34072,P34078,P34087,P34164,P34216,P34217,P34219,P34220,P34221,P34222,P34223,P34234,P34243,P34253,P34730,P34760,P34761,P34909,P35127,P35169,P35172,P35182,P35193,P35194,P35207,P35688,P35719,P35734,P35844,P36003,P36004,P36024,P36037,P36054,P36059,P36068,P36069,P36077,P36088,P36095,P36097,P36103,P36108,P36123,P36131,P36132,P36136,P36138,P36146,P36152,P36154,P36156,P36162,P36166,P36167,P36421,P36973,P37012,P37254,P37291,P37293,P38013,P38042,P38063,P38070,P38088,P38132,P38143,P38149,P38151,P38165,P38167,P38170,P38174,P38182,P38193,P38198,P38199,P38219,P38234,P38236,P38237,P38238,P38243,P38276,P38277,P38281,P38305,P38314,P38315,P38332,P38333,P38335,P38344,P38347,P38620,P38623,P38625,P38628,P38634,P38689,P38690,P38691,P38697,P38698,P38708,P38710,P38713,P38715,P38716,P38720,P38732,P38737,P38738,P38748,P38749,P38755,P38758,P38768,P38772,P38777,P38787,P38788,P38793,P38795,P38798,P38804,P38809,P38824,P38839,P38840,P38854,P38858,P38859,P38874,P38890,P38892,P38903,P38913,P38922,P38934,P38972,P38986,P38989,P38990,P38996,P38998,P39008,P39014,P39015,P39016,P39517,P39683,P39713,P39714,P39715,P39721,P39732,P39929,P39935,P39937,P39940,P39958,P39960,P39969,P39976,P39979,P39984,P39988,P39994,P39998,P40002,P40005,P40021,P40024,P40029,P40037,P40038,P40045,P40048,P40066,P40069,P40080,P40081,P40084,P40087,P40106,P40150,P40157,P40160,P40186,P40188,P40206,P40208,P40210,P40302,P40327,P40347,P40433,P40453,P40454,P40457,P40459,P40463,P40481,P40483,P40484,P40487,P40492,P40506,P40507,P40516,P40522,P40545,P40554,P40555,P40558,P40559,P40561,P40825,P40856,P40893,P40959,P41277,P41338,P41812,P41819,P41910,P41920,P41940,P42826,P42842,P42843,P42845,P42935,P42937,P42938,P43123,P43321,P43558,P43563,P43565,P43568,P43569,P43573,P43598,P43603,P43612,P43616,P43619,P43638,P46655,P46670,P46672,P46947,P46963,P46970,P46988,P46997,P47011,P47017,P47019,P47024,P47039,P47050,P47072,P47085,P47093,P47096,P47098,P47099,P47100,P47104,P47112,P47116,P47119,P47120,P47122,P47130,P47135,P47138,P47147,P47163,P47164,P47165,P47168,P47169,P47176,P47771,P48361,P48363,P48412,P48445,P48524,P48570,P48582,P48606,P49435,P49723,P49957,P50079,P50094,P50095,P50111,P50278,P50942,P50946,P51534,P51601,P52286,P52490,P52553,P52868,P52892,P52918,P52920,P53036,P53043,P53060,P53067,P53068,P53072,P53076,P53080,P53081,P53090,P53091,P53094,P53107,P53111,P53118,P53124,P53137,P53145,P53148,P53152,P53155,P53159,P53168,P53169,P53172,P53178,P53184,P53185,P53200,P53207,P53228,P53258,P53267,P53280,P53281,P53289,P53290,P53294,P53295,P53303,P53323,P53332,P53333,P53549,P53550,P53686,P53691,P53720,P53727,P53739,P53743,P53829,P53834,P53836,P53843,P53848,P53855,P53859,P53863,P53866,P53867,P53871,P53886,P53892,P53893,P53894,P53899,P53900,P53904,P53905,P53909,P53927,P53930,P53935,P53940,P53942,P53949,P53965,P53968,P53971,P53981,P53982,P54114,P54730,P54786,P54860,P54861,P57743,P69771,P69850,P69851,P80210,Q00362,Q00416,Q00539,Q00582,Q00684,Q00816,Q01389,Q01476,Q01477,Q01532,Q01560,Q01846,Q02201,Q02256,Q02606,Q02648,Q02685,Q02754,Q02770,Q02803,Q02821,Q02872,Q02875,Q02884,Q02908,Q02932,Q02948,Q02979,Q03002,Q03010,Q03034,Q03162,Q03195,Q03233,Q03262,Q03264,Q03266,Q03305,Q03375,Q03434,Q03441,Q03466,Q03496,Q03497,Q03533,Q03654,Q03656,Q03677,Q03758,Q03771,Q03780,Q03785,Q03786,Q03862,Q03920,Q03954,Q03957,Q03973,Q03981,Q04007,Q04031,Q04093,Q04120,Q04170,Q04175,Q04178,Q04179,Q04214,Q04215,Q04233,Q04235,Q04272,Q04304,Q04377,Q04409,Q04410,Q04418,Q04429,Q04430,Q04431,Q04489,Q04493,Q04511,Q04601,Q04670,Q04739,Q04839,Q04868,Q04964,Q05015,Q05024,Q05506,Q05515,Q05541,Q05580,Q05584,Q05672,Q05778,Q05791,Q05874,Q05881,Q05924,Q05926,Q05948,Q05979,Q06053,Q06108,Q06137,Q06142,Q06146,Q06151,Q06152,Q06178,Q06251,Q06252,Q06287,Q06315,Q06321,Q06338,Q06340,Q06408,Q06411,Q06436,Q06449,Q06489,Q06494,Q06523,Q06549,Q06608,Q06616,Q06628,Q06672,Q06673,Q06680,Q06682,Q06685,Q06688,Q06698,Q06706,Q06817,Q07084,Q07381,Q07395,Q07442,Q07527,Q07532,Q07551,Q07589,Q07648,Q07653,Q07655,Q07688,Q07729,Q07807,Q07834,Q07915,Q07938,Q07953,Q07963,Q08004,Q08202,Q08217,Q08225,Q08229,Q08236,Q08273,Q08300,Q08412,Q08444,Q08471,Q08491,Q08581,Q08634,Q08645,Q08647,Q08726,Q08732,Q08748,Q08816,Q08817,Q08886,Q08887,Q08924,Q08925,Q08930,Q08954,Q08961,Q08962,Q08965,Q08966,Q08971,Q08972,Q08977,Q08985,Q10740,Q12000,Q12008,Q12017,Q12018,Q12020,Q12033,Q12040,Q12044,Q12045,Q12051,Q12055,Q12068,Q12084,Q12090,Q12094,Q12098,Q12107,Q12108,Q12109,Q12112,Q12114,Q12123,Q12134,Q12139,Q12156,Q12163,Q12179,Q12180,Q12196,Q12199,Q12213,Q12221,Q12229,Q12242,Q12245,Q12248,Q12263,Q12265,Q12267,Q12271,Q12272,Q12273,Q12276,Q12288,Q12291,Q12311,Q12314,Q12315,Q12338,Q12341,Q12354,Q12362,Q12363,Q12383,Q12386,Q12400,Q12414,Q12416,Q12417,Q12427,Q12429,Q12433,Q12440,Q12447,Q12449,Q12453,Q12454,Q12458,Q12461,Q12463,Q12468,Q12486,Q12490,Q12491,Q12494,Q12500,Q12509,Q12510,Q12514,Q12515,Q12517,Q12522,Q12523,Q12525,Q12530,Q12676,Q12734,Q12751,Q3E764,Q3E7B7,Q3E7Y6,Q3E841,Q96VH4,Q99189,Q99210,Q99216,Q99247,Q99257,Q99288,Q99321,Q99337,Q99383,Q9P305
GO:0005739	e	mitochondrion	122/1159	104/1159	0.234	602	577	587	n.a.	P00358,P00359,P00360,P00447,P00560,P00890,P00924,P00925,P00927,P00942,P00950,P01120,P02994,P04037,P04803,P04806,P04807,P04840,P06168,P06208,P07213,P07251,P07256,P07257,P07263,P07342,P07806,P08417,P09440,P0C5N3,P10592,P12709,P12887,P13188,P14540,P15108,P15565,P16387,P16547,P16861,P16862,P16965,P17106,P17505,P17695,P19882,P21560,P21954,P22936,P23180,P25039,P25372,P25374,P25694,P25719,P26793,P27692,P28239,P28241,P28817,P31378,P32190,P32340,P32445,P32454,P32463,P32473,P32898,P34227,P35691,P36013,P36141,P37292,P38071,P38087,P38088,P38122,P38264,P38705,P38884,P39522,P39533,P39726,P40053,P40495,P40825,P40961,P43588,P46367,P46655,P47039,P48015,P48525,P49095,P52893,P53075,P53081,P53193,P53219,P53297,P53312,P53598,P53889,P54115,Q00711,Q01574,Q01802,Q01976,Q03558,Q04013,Q05933,Q06177,Q07540,Q08162,Q08686,Q08742,Q08822,Q12122,Q12166,Q12287,Q12305,Q12480	P00175,P00358,P00359,P00360,P00447,P00560,P00890,P00924,P00925,P00927,P00942,P00950,P01097,P01098,P01120,P02992,P02994,P03874,P03879,P04037,P04803,P04806,P04807,P04819,P04840,P05066,P06168,P06208,P07213,P07236,P07251,P07256,P07257,P07263,P07271,P07342,P07806,P07884,P08067,P08417,P08425,P08593,P08678,P09440,P0C5N3,P10127,P10566,P10592,P10849,P11325,P12709,P12887,P13188,P14540,P15108,P15179,P15565,P15801,P16387,P16547,P16861,P16862,P16965,P17106,P17505,P17695,P18900,P19158,P19882,P21375,P21560,P21954,P22135,P22136,P22438,P22936,P23180,P23493,P23641,P25038,P25039,P25270,P25298,P25333,P25345,P25349,P25372,P25374,P25566,P25578,P25694,P25719,P25846,P26793,P27680,P27692,P27697,P27895,P28239,P28241,P28625,P28817,P30771,P30775,P31378,P32048,P32190,P32191,P32316,P32331,P32333,P32340,P32378,P32381,P32445,P32451,P32453,P32454,P32463,P32473,P32493,P32785,P32796,P32799,P32874,P32875,P32891,P32898,P32910,P33751,P33893,P34111,P34227,P35197,P35691,P36013,P36130,P36141,P36146,P36159,P37267,P37292,P38071,P38087,P38088,P38111,P38122,P38127,P38264,P38631,P38705,P38714,P38771,P38797,P38816,P38824,P38851,P38884,P38885,P38927,P39518,P39522,P39525,P39533,P39677,P39717,P39726,P39965,P40015,P40035,P40051,P40053,P40099,P40156,P40159,P40165,P40215,P40303,P40364,P40495,P40502,P40530,P40825,P40961,P41911,P42945,P43122,P43557,P43582,P43588,P46367,P46655,P46989,P47015,P47039,P47051,P47084,P47131,P47139,P47140,P48015,P48237,P48525,P48526,P48527,P48559,P48567,P49095,P49367,P49775,P50085,P50896,P52489,P52893,P52920,P52923,P53051,P53070,P53075,P53077,P53081,P53088,P53140,P53166,P53170,P53193,P53219,P53260,P53294,P53297,P53312,P53320,P53397,P53598,P53839,P53889,P53918,P53937,P54115,P54783,P54861,P54964,P80235,Q00539,Q00711,Q00772,Q01532,Q01574,Q01802,Q01976,Q02771,Q02873,Q02875,Q03028,Q03104,Q03218,Q03429,Q03557,Q03558,Q03652,Q03713,Q03941,Q04013,Q04049,Q04311,Q04408,Q04748,Q05892,Q05933,Q06005,Q06109,Q06177,Q06179,Q06409,Q06485,Q06510,Q06625,Q06630,Q06681,Q07500,Q07540,Q07799,Q08162,Q08282,Q08645,Q08651,Q08686,Q08742,Q08818,Q08822,Q08952,Q08959,Q08968,Q08970,Q12016,Q12032,Q12069,Q12082,Q12093,Q12117,Q12122,Q12142,Q12158,Q12166,Q12181,Q12204,Q12283,Q12287,Q12298,Q12305,Q12339,Q12480,Q12497,Q12511
GO:0005741	p	mitochondrial outer membrane	8/1159	15/1159	0.208	535	518	522	n.a.	P04840,P07213,P16547,P16861,P16862,P17898,P38626,Q06089	P04840,P06197,P07213,P08456,P14693,P16547,P16603,P16658,P16861,P16862,P17898,P23644,P28321,P28737,P32792,P33448,P35180,P36060,P36101,P36114,P36130,P36135,P38169,P38626,P38756,P38825,P39722,P40008,P40478,P40515,P41800,P47025,P47031,P49334,P50110,P52923,P53507,P53969,P54861,P80967,Q02863,Q04675,Q06089,Q06324,Q06510,Q08176,Q08926,Q12106,Q3E6R5,Q3E7A3
GO:0005742	p	mitochondrial outer membrane translocase complex	1/1159	3/1159	0.625	1.61e+03	1.39e+03	1.57e+03	n.a.	P07213	P07213,P23644,P33448,P35180,P49334,P53507,P80967
GO:0005743	e	mitochondrial inner membrane	33/1159	29/1159	0.7	1.8e+03	1.48e+03	1.76e+03	n.a.	P00830,P04037,P04710,P07170,P07275,P16622,P18239,P19882,P32340,P36112,P36147,P38087,P38300,P38523,P38988,P39925,P40012,P40202,P40961,P42949,P48360,P53193,P53318,Q01852,Q01926,Q02776,Q04013,Q05779,Q06493,Q07540,Q07914,Q08179,Q08822	O13525,P00175,P00424,P00830,P04037,P04710,P06182,P07143,P07170,P07271,P07275,P07390,P08466,P10355,P10566,P10834,P16622,P18239,P18496,P19516,P19882,P23500,P23641,P23833,P25348,P27680,P32191,P32317,P32331,P32332,P32340,P32378,P32795,P32796,P32830,P32839,P32891,P32897,P33303,P33310,P33311,P36112,P36147,P36163,P37267,P37298,P38072,P38087,P38127,P38172,P38228,P38297,P38300,P38330,P38523,P38860,P38958,P38988,P39103,P39515,P39925,P40012,P40035,P40086,P40202,P40341,P40416,P40961,P41735,P42844,P42900,P42949,P47045,P48360,P50085,P50273,P53193,P53220,P53260,P53266,P53299,P53311,P53318,P53320,P57744,P80235,P87108,Q00873,Q01852,Q01926,Q02776,Q03028,Q03151,Q03153,Q03778,Q04013,Q04172,Q04472,Q04935,Q05779,Q05809,Q06143,Q06493,Q06510,Q06563,Q06567,Q06668,Q07534,Q07540,Q07914,Q08058,Q08179,Q08622,Q08645,Q08822,Q12089,Q12171,Q12251,Q12289,Q12328,Q12375,Q12482,Q2V2P9,Q3E7A4,Q3E7B2,Q99297
GO:0005744	e	mitochondrial inner membrane presequence translocase complex	3/1159	2/1159	1	2.57e+03	1.84e+03	2.51e+03	n.a.	P42949,Q02776,Q07914	P32897,P39515,P42949,P53220,Q02776,Q02889,Q07914
GO:0005745	e	m-AAA complex	1/1159	0/1159	1	2.57e+03	1.73e+03	2.51e+03	n.a.	P39925	
GO:0005749	p	mitochondrial respiratory chain complex II, succinate dehydrogenase complex (ubiquinone)	1/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	Q00711	P21801,P33421,P37298,Q00711
GO:0005750	p	mitochondrial respiratory chain complex III	2/1159	3/1159	1	2.57e+03	1.84e+03	2.51e+03	n.a.	P07256,P07257	P00127,P00128,P07143,P07256,P07257,P08067,P08525,P37299
GO:0005751	p	mitochondrial respiratory chain complex IV	2/1159	3/1159	1	2.57e+03	1.84e+03	2.51e+03	n.a.	P00427,P04037	P00401,P00410,P00424,P00425,P00427,P04037,P07255,P10174,P32799,Q01519
GO:0005754	p	mitochondrial proton-transporting ATP synthase, catalytic core	2/1159	2/1159	1	2.57e+03	2.03e+03	2.51e+03	n.a.	P00830,P07251	P00830,P07251
GO:0005756	p	mitochondrial proton-transporting ATP synthase, central stalk	1/1159	1/1159	1	2.58e+03	1.17e+03	2.51e+03	n.a.	P38077	P21306,P38077,Q12165
GO:0005758	p	mitochondrial intermembrane space	27/1159	32/1159	0.598	1.54e+03	1.34e+03	1.5e+03	n.a.	P00044,P00445,P00830,P00890,P00950,P04037,P04710,P04840,P07170,P07251,P14832,P19414,P19882,P22217,P25375,P28834,P29509,P32898,P36010,P38075,P40202,P40581,P50861,P53193,Q04401,Q07540,Q12287	O60200,O74700,P00044,P00045,P00127,P00175,P00424,P00431,P00445,P00830,P00890,P00950,P04037,P04710,P04840,P06182,P07143,P07170,P07251,P14832,P14908,P19414,P19516,P19882,P22217,P23641,P23644,P25375,P27796,P27882,P28834,P29509,P32266,P32378,P32839,P32891,P32897,P32898,P36010,P36046,P36060,P36064,P36152,P38075,P38081,P38162,P38824,P39515,P40037,P40202,P40215,P40364,P40581,P47045,P50861,P53193,P53299,P53615,P53722,P57744,P87108,Q00873,Q01519,Q02772,Q03667,Q04341,Q04401,Q05776,Q05809,Q06510,Q07500,Q07540,Q12287,Q12328,Q12511,Q3E7A4,Q3E846,Q99258
GO:0005759	e	mitochondrial matrix	49/1159	28/1159	0.0199	51.2	50.8	49.9	n.a.	P00447,P00890,P04803,P07246,P07275,P08417,P09950,P10507,P11914,P15424,P17505,P19414,P19882,P21269,P25719,P28834,P32340,P33416,P35191,P36013,P36775,P38071,P38088,P38345,P38523,P38698,P38705,P38793,P38891,P38910,P39676,P40047,P40185,P40491,P40513,P42940,P46681,P48360,P48525,P49017,P52893,P53193,Q01217,Q01802,Q04401,Q04728,Q07540,Q12480,Q6Q560	P00431,P00447,P00890,P04803,P07236,P07246,P07266,P07275,P08417,P08425,P09950,P10507,P10834,P10849,P11325,P11914,P13433,P14908,P15179,P15202,P15424,P17505,P18544,P19414,P19882,P21269,P22438,P24720,P25345,P25719,P27697,P28834,P32048,P32340,P32860,P33416,P35191,P35999,P36013,P36775,P38071,P38088,P38323,P38345,P38523,P38698,P38705,P38714,P38793,P38812,P38891,P38910,P39103,P39112,P39676,P40047,P40185,P40360,P40491,P40513,P40530,P40990,P42844,P42940,P46681,P47065,P47158,P48360,P48525,P48526,P48527,P49017,P52893,P53166,P53170,P53193,Q01217,Q01802,Q02773,Q02784,Q03020,Q03429,Q04401,Q04728,Q05931,Q06892,Q07540,Q08230,Q08645,Q12031,Q12184,Q12425,Q12480,Q3E785,Q6Q560
GO:0005761	e	mitochondrial ribosome	4/1159	1/1159	0.374	964	900	940	n.a.	P07253,P14066,P19955,P21560	P07253,P19516,P19955,P21560
GO:0005762	p	mitochondrial large ribosomal subunit	5/1159	10/1159	0.3	773	727	753	n.a.	P12687,P22354,P36534,P39952,P53875	P12687,P14063,P19956,P20084,P22353,P22354,P23369,P25348,P25626,P25642,P31334,P32387,P32388,P32611,P32904,P35996,P36516,P36517,P36519,P36520,P36521,P36523,P36525,P36526,P36527,P36528,P36531,P36532,P36533,P36534,P38064,P39952,P40858,P51998,P53166,P53724,P53875,P53881,Q02204,Q04599,Q06090,Q06678,Q12487
GO:0005763	p	mitochondrial small ribosomal subunit	5/1159	7/1159	0.774	1.99e+03	1.61e+03	1.94e+03	n.a.	P17558,P19955,Q01163,Q02950,Q03799	O75012,P02381,P10662,P10663,P12686,P17558,P19955,P21771,P27929,P28778,P32902,P33759,P36056,P38120,P38175,P38796,P40033,P40496,P42847,P47141,P47150,P53292,P53305,P53732,P53733,Q01163,Q02608,Q02950,Q03201,Q03246,Q03430,Q03799,Q03976
